                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90917,                 1.3747,                 1.2748,                0.92073,                0.88858,                0.95176,                0.77512,                0.75601,                0.58281,                 1.1098,              0.0033276,              0.0033276,              0.0033276
                      2,                0.93271,                0.96498,                 1.2525,                 0.8923,                0.86449,                0.91777,                0.71387,                0.88346,                0.75276,                 1.1811,              0.0066169,              0.0066169,              0.0066169
                      3,                 1.0924,                  1.169,                 1.3536,                0.86069,                 0.7919,                0.86689,                0.62092,                 1.0372,                 1.0069,                 1.2813,              0.0098623,              0.0098623,              0.0098623
                      4,                  1.216,                 1.3146,                 1.4388,                0.86722,                0.83473,                 0.8926,                0.64772,                0.99824,                 0.9896,                 1.2829,               0.009802,               0.009802,               0.009802
                      5,                 1.1545,                 1.2111,                 1.4006,                0.91302,                0.86594,                0.92732,                0.69856,                0.91132,                0.88105,                 1.2226,               0.009802,               0.009802,               0.009802
                      6,                 1.1057,                  1.125,                 1.3692,                0.86577,                0.85504,                 0.9193,                 0.7001,                0.90009,                0.77968,                 1.2284,               0.009736,               0.009736,               0.009736
                      7,                 1.0473,                 1.0449,                 1.3337,                0.91345,                 0.8591,                 0.9375,                0.72374,                0.88621,                0.70129,                 1.1671,                0.00967,                0.00967,                0.00967
                      8,                 1.0127,                 1.0042,                 1.3098,                0.90602,                0.89544,                0.93961,                0.73841,                0.83883,                0.66631,                 1.1586,               0.009604,               0.009604,               0.009604
                      9,                0.98159,                0.94974,                  1.289,                0.94925,                 0.8776,                0.93836,                0.75216,                0.78465,                0.61546,                 1.1212,               0.009538,               0.009538,               0.009538
                     10,                0.96775,                0.92107,                 1.2844,                 0.9562,                0.90645,                0.95807,                0.77605,                0.78556,                0.61608,                 1.1159,               0.009472,               0.009472,               0.009472
                     11,                0.94446,                0.89017,                 1.2737,                 0.9542,                0.88793,                0.95175,                0.76988,                 0.7783,                0.56858,                 1.1209,               0.009406,               0.009406,               0.009406
                     12,                0.93036,                0.87053,                 1.2649,                0.95148,                0.93278,                0.96004,                0.78031,                0.76942,                0.53718,                  1.102,                0.00934,                0.00934,                0.00934
                     13,                0.91505,                0.83851,                 1.2519,                 0.9555,                0.91626,                0.96152,                 0.7881,                0.74985,                0.56183,                 1.1068,               0.009274,               0.009274,               0.009274
                     14,                0.89986,                0.82227,                  1.247,                0.96466,                0.92362,                0.96232,                 0.7933,                 0.7447,                0.53475,                 1.1122,               0.009208,               0.009208,               0.009208
                     15,                0.86494,                0.78233,                 1.2146,                0.95143,                0.91981,                0.96224,                0.78744,                0.75656,                0.55188,                 1.0935,               0.009142,               0.009142,               0.009142
                     16,                0.87191,                0.78478,                 1.2202,                0.94953,                0.93566,                0.96184,                0.79589,                0.70477,                0.51034,                  1.062,               0.009076,               0.009076,               0.009076
                     17,                 0.8536,                0.76024,                 1.2129,                0.96024,                0.91635,                0.96297,                0.80365,                0.70997,                0.50581,                 1.0812,                0.00901,                0.00901,                0.00901
                     18,                0.85767,                0.76923,                  1.206,                0.96003,                0.94111,                 0.9655,                0.81614,                0.68801,                0.48787,                 1.0629,               0.008944,               0.008944,               0.008944
                     19,                0.83886,                0.73912,                 1.1996,                0.94697,                0.94883,                0.96668,                0.80282,                0.71507,                0.48883,                 1.0781,               0.008878,               0.008878,               0.008878
                     20,                0.82572,                0.72972,                 1.1949,                0.95293,                  0.935,                 0.9679,                0.81077,                 0.6996,                0.48036,                 1.0782,               0.008812,               0.008812,               0.008812
                     21,                0.82732,                0.71388,                 1.1909,                0.95098,                0.94777,                0.96783,                0.82169,                0.68933,                0.46632,                 1.0666,               0.008746,               0.008746,               0.008746
                     22,                0.81172,                0.70941,                 1.1783,                0.96194,                0.94188,                0.96574,                0.81326,                  0.686,                0.46714,                 1.0464,                0.00868,                0.00868,                0.00868
                     23,                0.80341,                0.69397,                 1.1802,                 0.9644,                0.93338,                0.96584,                0.82287,                0.67802,                0.44502,                 1.0404,               0.008614,               0.008614,               0.008614
                     24,                0.79172,                0.68005,                 1.1717,                0.96167,                0.93974,                0.96975,                0.82272,                0.66705,                 0.4415,                 1.0432,               0.008548,               0.008548,               0.008548
                     25,                0.79562,                0.68622,                 1.1825,                0.95727,                  0.931,                0.96739,                0.82855,                0.67655,                 0.4416,                 1.0472,               0.008482,               0.008482,               0.008482
                     26,                0.79084,                0.67396,                 1.1766,                0.96691,                0.94035,                0.96801,                0.83358,                0.64321,                0.42258,                 1.0402,               0.008416,               0.008416,               0.008416
                     27,                0.77623,                0.65437,                 1.1639,                0.94371,                0.94411,                0.96437,                0.83119,                0.64598,                0.43362,                 1.0376,                0.00835,                0.00835,                0.00835
                     28,                0.76545,                0.65024,                 1.1584,                0.96198,                0.94361,                0.97068,                0.83825,                0.64838,                0.43546,                 1.0402,               0.008284,               0.008284,               0.008284
                     29,                0.76407,                0.64458,                 1.1643,                0.96272,                0.95572,                0.96981,                0.83096,                0.65517,                0.42372,                  1.048,               0.008218,               0.008218,               0.008218
                     30,                0.74697,                0.62974,                 1.1445,                0.97128,                0.93938,                0.96776,                 0.8303,                0.62757,                0.42279,                 1.0252,               0.008152,               0.008152,               0.008152
                     31,                0.75416,                0.63246,                 1.1477,                0.97177,                0.94574,                 0.9701,                 0.8433,                 0.6227,                0.40384,                 1.0145,               0.008086,               0.008086,               0.008086
                     32,                0.74242,                0.62158,                 1.1416,                0.96961,                0.95078,                0.97029,                0.84143,                0.63247,                0.41054,                  1.024,                0.00802,                0.00802,                0.00802
                     33,                 0.7363,                 0.6115,                 1.1387,                0.96566,                 0.9588,                0.97121,                0.84648,                 0.6194,                0.38911,                0.99571,               0.007954,               0.007954,               0.007954
                     34,                0.73258,                0.61728,                 1.1361,                0.97524,                0.95093,                  0.973,                0.85179,                0.62224,                0.39726,                 1.0092,               0.007888,               0.007888,               0.007888
                     35,                 0.7304,                0.60754,                 1.1373,                0.96809,                0.95036,                0.97252,                0.85162,                0.61019,                0.39634,                 1.0179,               0.007822,               0.007822,               0.007822
                     36,                0.71803,                0.59601,                 1.1236,                0.96903,                0.94905,                 0.9743,                0.85265,                0.60142,                0.39371,                  1.008,               0.007756,               0.007756,               0.007756
                     37,                0.71999,                0.59912,                 1.1305,                 0.9669,                0.94184,                0.97202,                0.85664,                0.60696,                0.38927,                  1.006,                0.00769,                0.00769,                0.00769
                     38,                0.71173,                0.58802,                 1.1209,                0.97306,                0.94168,                0.97397,                0.86088,                0.60219,                 0.3774,                 1.0086,               0.007624,               0.007624,               0.007624
                     39,                0.70628,                0.58186,                 1.1162,                0.97121,                0.95518,                0.97226,                0.85793,                0.58407,                0.37112,                0.98734,               0.007558,               0.007558,               0.007558
                     40,                0.70538,                0.58721,                 1.1149,                0.96546,                0.96368,                0.97362,                0.86014,                0.59695,                0.35847,                0.98947,               0.007492,               0.007492,               0.007492
                     41,                0.69995,                0.57344,                  1.114,                0.97862,                0.95435,                0.97282,                0.85997,                0.59012,                0.35819,                0.99008,               0.007426,               0.007426,               0.007426
